,Name
1,IndianRed
2,LightCoral
3,Salmon
4,DarkSalmon
5,LightSalmon
6,Crimson
7,Red
8,FireBrick
9,DarkRed
11,Pink
12,LightPink
13,HotPink
14,DeepPink
15,MediumVioletRed
16,PaleVioletRed
18,LightSalmon
19,Coral
20,Tomato
21,OrangeRed
22,DarkOrange
23,Orange
25,Gold
26,Yellow
27,LightYellow
28,LemonChiffon
29,LightGoldenrodYellow
30,PapayaWhip
31,Moccasin
32,PeachPuff
33,PaleGoldenrod
34,Khaki
35,DarkKhaki
37,Lavender
38,Thistle
39,Plum
40,Violet
41,Orchid
42,Fuchsia
43,Magenta
44,MediumOrchid
45,MediumPurple
46,RebeccaPurple
47,BlueViolet
48,DarkViolet
49,DarkOrchid
50,DarkMagenta
51,Purple
52,Indigo
53,SlateBlue
54,DarkSlateBlue
55,MediumSlateBlue
57,GreenYellow
58,Chartreuse
59,LawnGreen
60,Lime
61,LimeGreen
62,PaleGreen
63,LightGreen
64,MediumSpringGreen
65,SpringGreen
66,MediumSeaGreen
67,SeaGreen
68,ForestGreen
69,Green
70,DarkGreen
71,YellowGreen
72,OliveDrab
73,Olive
74,DarkOliveGreen
75,MediumAquamarine
76,DarkSeaGreen
77,LightSeaGreen
78,DarkCyan
79,Teal
81,Aqua
82,Cyan
83,LightCyan
84,PaleTurquoise
85,Aquamarine
86,Turquoise
87,MediumTurquoise
88,DarkTurquoise
89,CadetBlue
90,SteelBlue
91,LightSteelBlue
92,PowderBlue
93,LightBlue
94,SkyBlue
95,LightSkyBlue
96,DeepSkyBlue
97,DodgerBlue
98,CornflowerBlue
99,MediumSlateBlue
100,RoyalBlue
101,Blue
102,MediumBlue
103,DarkBlue
104,Navy
105,MidnightBlue
107,Cornsilk
108,BlanchedAlmond
109,Bisque
110,NavajoWhite
111,Wheat
112,BurlyWood
113,Tan
114,RosyBrown
115,SandyBrown
116,Goldenrod
117,DarkGoldenrod
118,Peru
119,Chocolate
120,SaddleBrown
121,Sienna
122,Brown
123,Maroon
125,White
126,Snow
127,HoneyDew
128,MintCream
129,Azure
130,AliceBlue
131,GhostWhite
132,WhiteSmoke
133,SeaShell
134,Beige
135,OldLace
136,FloralWhite
137,Ivory
138,AntiqueWhite
139,Linen
140,LavenderBlush
141,MistyRose
143,Gainsboro
144,LightGray
145,Silver
146,DarkGray
147,Gray
148,DimGray
149,LightSlateGray
150,SlateGray
151,DarkSlateGray
152,Black
