,SportRev,TotalRev,WomenRev,MenRev,CoedRev,SportExp,TotalExp,WomenExp,MenExp,CoedExp,TotalProf,WomenProf,MenProf
0,Archery ,2087538.0,711027.0,577435.0,799076.0,Archery ,2085370.0,710956.0,577343.0,797071.0,2168.0,71.0,92.0
1,Badminton ,9509.0,9509.0,,,Badminton ,9509.0,9509.0,,,0.0,0.0,
2,Baseball ,742647312.0,,742647312.0,,Baseball ,771524349.0,,771524349.0,,-28877037.0,,-28877037.0
3,Basketball ,2471383681.0,870200174.0,1601183507.0,,Basketball ,2455560091.0,941158960.0,1514401131.0,,15823590.0,-70958786.0,86782376.0
4,Beach Volleyball ,27435464.0,27435464.0,,,Beach Volleyball ,26313457.0,26313457.0,,,1122007.0,1122007.0,
5,Bowling ,29827484.0,20343768.0,9472760.0,10956.0,Bowling ,28671326.0,19376682.0,9290244.0,4400.0,1156158.0,967086.0,182516.0
6,All Track Combined ,615875366.0,354606962.0,261268404.0,,All Track Combined ,677935044.0,381233693.0,296701351.0,,-62059678.0,-26626731.0,-35432947.0
7,Diving ,1187546.0,374179.0,813367.0,,Diving ,1186451.0,373084.0,813367.0,,1095.0,1095.0,0.0
8,Equestrian ,27486617.0,25222264.0,,2264353.0,Equestrian ,28972612.0,26810493.0,,2162119.0,-1485995.0,-1588229.0,
9,Fencing ,8337583.0,5199422.0,3112901.0,25260.0,Fencing ,11231784.0,6694674.0,4511850.0,25260.0,-2894201.0,-1495252.0,-1398949.0
10,Field Hockey ,77147852.0,77147852.0,,,Field Hockey ,80658085.0,80658085.0,,,-3510233.0,-3510233.0,
11,Football ,4072915951.0,,4072915951.0,,Football ,3232342075.0,,3232342075.0,,840573876.0,,840573876.0
12,Golf ,362660625.0,171794631.0,190832764.0,33230.0,Golf ,372925791.0,178282226.0,194614601.0,28964.0,-10265166.0,-6487595.0,-3781837.0
13,Gymnastics ,64636582.0,60339659.0,4296923.0,,Gymnastics ,83299755.0,74220034.0,9079721.0,,-18663173.0,-13880375.0,-4782798.0
14,Ice Hockey ,161050339.0,49428347.0,111621992.0,,Ice Hockey ,180319812.0,55155361.0,125164451.0,,-19269473.0,-5727014.0,-13542459.0
15,Lacrosse ,310419011.0,162757282.0,147661729.0,,Lacrosse ,323002724.0,170841623.0,152161101.0,,-12583713.0,-8084341.0,-4499372.0
16,Rifle ,8894699.0,1968113.0,22917.0,6903669.0,Rifle ,7436539.0,2417361.0,22917.0,4996261.0,1458160.0,-449248.0,0.0
17,Rodeo ,17636915.0,6560564.0,8434749.0,2641602.0,Rodeo ,16768281.0,6222249.0,7987224.0,2558808.0,868634.0,338315.0,447525.0
18,Rowing ,112429073.0,89888993.0,22540080.0,,Rowing ,129448972.0,104736086.0,24712886.0,,-17019899.0,-14847093.0,-2172806.0
19,Sailing ,5433188.0,2502146.0,228036.0,2703006.0,Sailing ,4915832.0,2120498.0,228036.0,2567298.0,517356.0,381648.0,0.0
20,Skiing ,11379664.0,5806647.0,5573017.0,,Skiing ,12509485.0,6530737.0,5978748.0,,-1129821.0,-724090.0,-405731.0
21,Soccer ,836731689.0,485707753.0,351023936.0,,Soccer ,864585197.0,508538094.0,356047103.0,,-27853508.0,-22830341.0,-5023167.0
22,Softball ,490131294.0,490131294.0,,,Softball ,516437682.0,516437682.0,,,-26306388.0,-26306388.0,
23,Squash ,3330009.0,1584051.0,1745958.0,,Squash ,2424266.0,1239791.0,1184475.0,,905743.0,344260.0,561483.0
24,Swimming ,66911358.0,40495539.0,26415819.0,,Swimming ,66808313.0,40403886.0,26404427.0,,103045.0,91653.0,11392.0
25,Swimming and Diving ,189221015.0,123351279.0,65869736.0,,Swimming and Diving ,214379152.0,134603435.0,79775717.0,,-25158137.0,-11252156.0,-13905981.0
26,Synchronized Swimming ,1889547.0,1889547.0,,,Synchronized Swimming ,1885944.0,1885944.0,,,3603.0,3603.0,
27,Table Tennis ,,,,,Table Tennis ,,,,,,,
28,Team Handball ,,,,,Team Handball ,,,,,,,
29,Tennis ,336202752.0,197958580.0,138235977.0,8195.0,Tennis ,368786327.0,213771804.0,155006328.0,8195.0,-32583575.0,-15813224.0,-16770351.0
30,Track and Field Indoor ,27463080.0,15493591.0,11969489.0,,Track and Field Indoor ,26944832.0,15153555.0,11791277.0,,518248.0,340036.0,178212.0
31,Track and Field Outdoor ,93707948.0,49264884.0,44443064.0,,Track and Field Outdoor ,92214663.0,48707701.0,43506962.0,,1493285.0,557183.0,936102.0
32,Track and Field X-Country ,59399107.0,28121652.0,31277455.0,,Track and Field X-Country ,57232131.0,26933499.0,30298632.0,,2166976.0,1188153.0,978823.0
33,Volleyball ,500084354.0,463361046.0,36723308.0,,Volleyball ,515552260.0,478899864.0,36652396.0,,-15467906.0,-15538818.0,70912.0
34,Water Polo ,29991828.0,19432927.0,10558901.0,,Water Polo ,31351498.0,20932278.0,10419220.0,,-1359670.0,-1499351.0,139681.0
35,Weight Lifting ,2644290.0,1007393.0,1156838.0,480059.0,Weight Lifting ,2538013.0,1000346.0,1060633.0,477034.0,106277.0,7047.0,96205.0
36,Wrestling ,122080472.0,12791700.0,109217196.0,71576.0,Wrestling ,132404381.0,12592033.0,119740772.0,71576.0,-10323909.0,199667.0,-10523576.0
37,Other Sports ,53814358.0,22150514.0,7791329.0,23872515.0,Other Sports ,50942583.0,21011108.0,6939009.0,22992466.0,2871775.0,1139406.0,852320.0
38,Total,11944485100.0,3885038753.0,8019632850.0,39813497.0,Total,11391604586.0,4125976788.0,7228938346.0,36689452.0,552880514.0,-240938035.0,790694504.0
