,Wk,TxG,TG
0,1.0,1.9,2.0
1,1.0,3.3,4.0
2,1.0,1.1,2.0
3,1.0,2.0,5.0
4,1.0,1.9,3.0
5,1.0,2.4,2.0
6,1.0,2.1,1.0
7,1.0,1.1,4.0
8,1.0,3.3,3.0
9,1.0,2.6999999999999997,2.0
10,,,
11,2.0,3.0999999999999996,3.0
12,2.0,3.2,6.0
13,2.0,1.7000000000000002,4.0
14,2.0,3.1,4.0
15,2.0,1.9,0.0
16,2.0,1.2,0.0
17,2.0,2.6,4.0
18,2.0,3.5,1.0
19,2.0,2.5,4.0
20,2.0,3.2,2.0
21,,,
22,3.0,2.3,1.0
23,3.0,2.8,2.0
24,3.0,4.3,4.0
25,3.0,1.0,3.0
26,3.0,3.4,5.0
27,3.0,2.1,3.0
28,3.0,2.3,2.0
29,3.0,2.5999999999999996,3.0
30,3.0,4.5,6.0
31,3.0,3.2,3.0
32,,,
33,4.0,2.7,1.0
34,4.0,3.3,1.0
35,4.0,3.8,9.0
36,4.0,4.3,2.0
37,4.0,3.5999999999999996,3.0
38,4.0,2.6,6.0
39,4.0,3.5,3.0
40,4.0,2.8,2.0
41,4.0,1.0,1.0
42,4.0,3.7,2.0
43,,,
44,5.0,2.3,2.0
45,5.0,3.0999999999999996,3.0
46,5.0,2.0,3.0
47,5.0,2.4,2.0
48,5.0,2.9000000000000004,3.0
49,5.0,4.1000000000000005,6.0
50,5.0,2.0,0.0
51,5.0,1.8,2.0
52,5.0,2.3,3.0
53,5.0,1.7000000000000002,1.0
54,,,
55,6.0,3.3000000000000003,0.0
56,6.0,3.8000000000000003,0.0
57,6.0,1.7,1.0
58,6.0,1.6,3.0
59,6.0,4.4,7.0
60,6.0,3.1,3.0
61,6.0,2.2,5.0
62,6.0,1.5999999999999999,2.0
63,6.0,4.1,7.0
64,6.0,3.1,4.0
65,,,
66,7.0,,
67,7.0,,
68,7.0,,
69,7.0,,
70,7.0,,
71,7.0,,
72,7.0,,
73,7.0,,
74,7.0,,
75,7.0,,
76,,,
77,8.0,1.2000000000000002,1.0
78,8.0,2.5999999999999996,5.0
79,8.0,1.9,3.0
80,8.0,2.6,2.0
81,8.0,,
82,8.0,3.4,8.0
83,8.0,1.5,3.0
84,8.0,,
85,8.0,1.2000000000000002,1.0
86,8.0,,
87,,,
88,9.0,4.1,4.0
89,9.0,4.0,3.0
90,9.0,2.0999999999999996,3.0
91,9.0,3.2,6.0
92,9.0,3.9,5.0
93,9.0,1.7,0.0
94,9.0,1.7,2.0
95,9.0,4.4,9.0
96,9.0,1.8,0.0
97,9.0,2.3,4.0
98,,,
99,10.0,2.3,3.0
100,10.0,2.5,4.0
101,10.0,3.1,3.0
102,10.0,3.6,6.0
103,10.0,1.2999999999999998,1.0
104,10.0,1.8,3.0
105,10.0,3.8,4.0
106,10.0,3.4000000000000004,5.0
107,10.0,1.7000000000000002,3.0
108,10.0,0.8,2.0
109,,,
110,11.0,2.6,2.0
111,11.0,1.2,0.0
112,11.0,2.8,4.0
113,11.0,2.4,1.0
114,11.0,2.6,2.0
115,11.0,2.0,0.0
116,11.0,2.7,2.0
117,11.0,2.2,2.0
118,11.0,2.7,1.0
119,11.0,3.0,1.0
120,,,
121,12.0,,
122,12.0,,
123,12.0,,
124,12.0,,
125,12.0,,
126,12.0,,
127,12.0,,
128,12.0,,
129,12.0,,
130,12.0,,
131,,,
132,13.0,,
133,13.0,,
134,13.0,,
135,13.0,,
136,13.0,,
137,13.0,,
138,13.0,,
139,13.0,,
140,13.0,,
141,13.0,,
142,,,
143,14.0,,
144,14.0,,
145,14.0,,
146,14.0,,
147,14.0,,
148,14.0,,
149,14.0,,
150,14.0,,
151,14.0,,
152,14.0,,
153,,,
154,15.0,,
155,15.0,,
156,15.0,,
157,15.0,,
158,15.0,,
159,15.0,,
160,15.0,,
161,15.0,,
162,15.0,,
163,15.0,,
164,,,
165,16.0,,
166,16.0,,
167,16.0,,
168,16.0,,
169,16.0,,
170,16.0,,
171,16.0,,
172,16.0,,
173,16.0,,
174,16.0,,
175,,,
176,17.0,,
177,17.0,,
178,17.0,,
179,17.0,,
180,17.0,,
181,17.0,,
182,17.0,,
183,17.0,,
184,17.0,,
185,17.0,,
186,,,
187,18.0,,
188,18.0,,
189,18.0,,
190,18.0,,
191,18.0,,
192,18.0,,
193,18.0,,
194,18.0,,
195,18.0,,
196,18.0,,
197,,,
198,19.0,,
199,19.0,,
200,19.0,,
201,19.0,,
202,19.0,,
203,19.0,,
204,19.0,,
205,19.0,,
206,19.0,,
207,19.0,,
208,,,
209,20.0,,
210,20.0,,
211,20.0,,
212,20.0,,
213,20.0,,
214,20.0,,
215,20.0,,
216,20.0,,
217,20.0,,
218,20.0,,
219,,,
220,21.0,,
221,21.0,,
222,21.0,,
223,21.0,,
224,21.0,,
225,21.0,,
226,21.0,,
227,21.0,,
228,21.0,,
229,21.0,,
230,,,
231,22.0,,
232,22.0,,
233,22.0,,
234,22.0,,
235,22.0,,
236,22.0,,
237,22.0,,
238,22.0,,
239,22.0,,
240,22.0,,
241,,,
242,23.0,,
243,23.0,,
244,23.0,,
245,23.0,,
246,23.0,,
247,23.0,,
248,23.0,,
249,23.0,,
250,23.0,,
251,23.0,,
252,,,
253,24.0,,
254,24.0,,
255,24.0,,
256,24.0,,
257,24.0,,
258,24.0,,
259,24.0,,
260,24.0,,
261,24.0,,
262,24.0,,
263,,,
264,25.0,,
265,25.0,,
266,25.0,,
267,25.0,,
268,25.0,,
269,25.0,,
270,25.0,,
271,25.0,,
272,25.0,,
273,25.0,,
274,,,
275,26.0,,
276,26.0,,
277,26.0,,
278,26.0,,
279,26.0,,
280,26.0,,
281,26.0,,
282,26.0,,
283,26.0,,
284,26.0,,
285,,,
286,27.0,,
287,27.0,,
288,27.0,,
289,27.0,,
290,27.0,,
291,27.0,,
292,27.0,,
293,27.0,,
294,27.0,,
295,27.0,,
296,,,
297,28.0,,
298,28.0,,
299,28.0,,
300,28.0,,
301,28.0,,
302,28.0,,
303,28.0,,
304,28.0,,
305,28.0,,
306,28.0,,
307,,,
308,29.0,,
309,29.0,,
310,29.0,,
311,29.0,,
312,29.0,,
313,29.0,,
314,29.0,,
315,29.0,,
316,29.0,,
317,29.0,,
318,,,
319,30.0,,
320,30.0,,
321,30.0,,
322,30.0,,
323,30.0,,
324,30.0,,
325,30.0,,
326,30.0,,
327,30.0,,
328,30.0,,
329,,,
330,31.0,,
331,31.0,,
332,31.0,,
333,31.0,,
334,31.0,,
335,31.0,,
336,31.0,,
337,31.0,,
338,31.0,,
339,31.0,,
340,,,
341,32.0,,
342,32.0,,
343,32.0,,
344,32.0,,
345,32.0,,
346,32.0,,
347,32.0,,
348,32.0,,
349,32.0,,
350,32.0,,
351,,,
352,33.0,,
353,33.0,,
354,33.0,,
355,33.0,,
356,33.0,,
357,33.0,,
358,33.0,,
359,33.0,,
360,33.0,,
361,33.0,,
362,,,
363,34.0,,
364,34.0,,
365,34.0,,
366,34.0,,
367,34.0,,
368,34.0,,
369,34.0,,
370,34.0,,
371,34.0,,
372,34.0,,
373,,,
374,35.0,,
375,35.0,,
376,35.0,,
377,35.0,,
378,35.0,,
379,35.0,,
380,35.0,,
381,35.0,,
382,35.0,,
383,35.0,,
384,,,
385,36.0,,
386,36.0,,
387,36.0,,
388,36.0,,
389,36.0,,
390,36.0,,
391,36.0,,
392,36.0,,
393,36.0,,
394,36.0,,
395,,,
396,37.0,,
397,37.0,,
398,37.0,,
399,37.0,,
400,37.0,,
401,37.0,,
402,37.0,,
403,37.0,,
404,37.0,,
405,37.0,,
406,,,
407,38.0,,
408,38.0,,
409,38.0,,
410,38.0,,
411,38.0,,
412,38.0,,
413,38.0,,
414,38.0,,
415,38.0,,
416,38.0,,
